OMIM:100100,CHRM3
OMIM:100800,FGFR3
OMIM:101000,NF2
OMIM:101200,FGFR2
OMIM:101800,PRKAR1A
OMIM:101900,ATP2A2
OMIM:102200,AIP
OMIM:102500,NOTCH2
OMIM:102530,SPATA16
OMIM:102700,ADA
OMIM:102900,PKLR
OMIM:103050,ADSL
OMIM:103285,TP63
OMIM:103500,MITF
OMIM:103580,GNAS
OMIM:104100,GJA1
OMIM:104290,ATP1A2
OMIM:104310,APOE
OMIM:104500,ENAM
OMIM:104510,DLX3
OMIM:104530,LAMB3
OMIM:105120,GSN
OMIM:105150,CST3
OMIM:105210,TTR
OMIM:105550,C9orf72
OMIM:106100,SERPING1
OMIM:106190,ITPR2
OMIM:106260,TP63
OMIM:106300,HLA-B
OMIM:106600,MSX1
OMIM:107970,TGFB3
OMIM:108145,PIEZO2
OMIM:108300,COL2A1
OMIM:108500,CACNA1A
OMIM:108600,VAMP1
OMIM:108720,FLNB
OMIM:108721,FLNB
OMIM:108770,GJA5
OMIM:108900,NKX2-5
OMIM:108985,TEAD1
OMIM:109150,ATXN3
OMIM:110100,FOXL2
OMIM:112250,MTAP
OMIM:112310,FLNB
OMIM:112410,PDE3A
OMIM:113000,ROR2
OMIM:113200,HOXD13
OMIM:113500,TRPV4
OMIM:113620,TFAP2A
OMIM:113750,SLC24A5
OMIM:113970,MYC
OMIM:114000,COL1A1
OMIM:114290,SOX9
OMIM:114300,PIEZO2
OMIM:115000,RYR2
OMIM:115080,AKAP10
OMIM:115195,TNNT2
OMIM:115196,TPM1
OMIM:115197,MYBPC3
OMIM:115200,LMNA
OMIM:115210,TNNI3
OMIM:115300,BCO1
OMIM:115310,SDHB
OMIM:115430,TTR
OMIM:115700,CRYGD
OMIM:115900,CRYBA2
OMIM:116100,CRYGS
OMIM:116200,GJA8
OMIM:116300,VIM
OMIM:116400,WFS1
OMIM:116600,EPHA2
OMIM:116700,GCNT2
OMIM:116800,HSF4
OMIM:116920,ITGB2
OMIM:117000,RYR1
OMIM:117210,BEAN1
OMIM:117300,ITM2B
OMIM:117360,ITPR1
OMIM:117550,NSD1
OMIM:117650,SNRPB
OMIM:118100,GDF6
OMIM:118200,MPZ
OMIM:118210,KIF1B
OMIM:118220,PMP22
OMIM:118300,PMP22
OMIM:118400,SH3BP2
OMIM:118450,JAG1
OMIM:119500,IRF6
OMIM:119600,RUNX2
OMIM:119800,PITX1
OMIM:119900,HPGD
OMIM:120100,NLRP3
OMIM:120200,PAX6
OMIM:120330,PAX2
OMIM:120430,PAX6
OMIM:120433,YAP1
OMIM:120790,SERPING1
OMIM:121050,FBN2
OMIM:121201,KCNQ3
OMIM:121300,CPOX
OMIM:121800,UBIAD1
OMIM:121820,TGFBI
OMIM:121850,PIKFYVE
OMIM:121900,TGFBI
OMIM:122200,TGFBI
OMIM:122400,COL17A1
OMIM:122600,TBX6
OMIM:122860,SOST
OMIM:122880,PAX3
OMIM:123000,ANKH
OMIM:123100,TWIST1
OMIM:123320,CAV3
OMIM:123570,FREM2
OMIM:123700,ELN
OMIM:123790,FGFR2
OMIM:124000,BCS1L
OMIM:124200,ATP2A2
OMIM:124480,ATP6V1B2
